Date,Campaign,Channel,Clicks,Impressions,CTR,Conversions,Spend,ROAS
2024-01-05,Winter Sale,Google Ads,4500,125000,3.6,180,45000,5.2
2024-01-05,Brand Awareness,Facebook,3200,180000,1.78,95,28000,3.8
2024-01-05,Product Launch,Instagram,2800,95000,2.95,120,22000,6.1
2024-01-10,Winter Sale,Email,5200,42000,12.38,310,8500,15.4
2024-01-10,Retargeting,Google Ads,3800,68000,5.59,215,35000,6.8
2024-01-15,Brand Awareness,LinkedIn,1500,62000,2.42,45,18000,2.9
2024-01-15,Product Launch,Google Ads,4100,110000,3.73,165,42000,4.5
2024-01-20,Winter Sale,Facebook,3600,165000,2.18,130,32000,4.2
2024-02-01,Valentine Special,Instagram,3100,105000,2.95,145,25000,6.5
2024-02-01,Brand Awareness,Google Ads,4800,135000,3.56,175,48000,4.1
2024-02-05,Valentine Special,Email,5800,45000,12.89,340,9000,16.2
2024-02-05,Retargeting,Facebook,2900,72000,4.03,110,21000,5.9
2024-02-10,Product Launch,LinkedIn,1800,58000,3.1,52,19500,3.1
2024-02-10,Valentine Special,Google Ads,4300,120000,3.58,185,44000,4.7
2024-02-15,Brand Awareness,Instagram,2600,88000,2.95,105,20000,5.8
2024-02-20,Retargeting,Email,6200,48000,12.92,365,10000,15.8
2024-03-01,Spring Campaign,Google Ads,5100,140000,3.64,195,50000,4.4
2024-03-01,Spring Campaign,Facebook,3400,175000,1.94,125,30000,4.6
2024-03-05,Brand Awareness,Instagram,2900,92000,3.15,115,21000,6.0
2024-03-05,Product Launch,LinkedIn,1600,55000,2.91,48,17500,3.2
2024-03-10,Spring Campaign,Email,5500,46000,11.96,325,9200,14.9
2024-03-10,Retargeting,Google Ads,4000,75000,5.33,220,37000,6.5
2024-03-15,Brand Awareness,Google Ads,4600,130000,3.54,170,46000,4.2
2024-03-20,Spring Campaign,Instagram,3200,100000,3.2,140,24000,6.3
2024-04-01,Easter Promo,Google Ads,5300,145000,3.66,200,52000,4.3
2024-04-01,Easter Promo,Facebook,3700,185000,2.0,135,33000,4.5
2024-04-05,Brand Awareness,LinkedIn,1700,60000,2.83,50,18500,3.0
2024-04-05,Easter Promo,Email,5900,47000,12.55,345,9500,15.6
2024-04-10,Retargeting,Instagram,2700,85000,3.18,108,19500,6.2
2024-04-10,Product Launch,Google Ads,4400,115000,3.83,178,43000,4.6
2024-04-15,Brand Awareness,Facebook,3100,160000,1.94,100,27000,4.1
2024-04-20,Easter Promo,Google Ads,4900,138000,3.55,188,49000,4.3
2024-05-01,Summer Kickoff,Google Ads,5500,150000,3.67,210,54000,4.4
2024-05-01,Summer Kickoff,Instagram,3300,108000,3.06,148,26000,6.4
2024-05-05,Brand Awareness,Email,6000,50000,12.0,350,10500,14.5
2024-05-05,Summer Kickoff,Facebook,3800,190000,2.0,140,34000,4.5
2024-05-10,Retargeting,Google Ads,4200,80000,5.25,230,39000,6.5
2024-05-10,Product Launch,LinkedIn,1900,63000,3.02,55,20000,3.2
2024-05-15,Summer Kickoff,Email,6100,49000,12.45,358,10200,15.1
2024-05-20,Brand Awareness,Google Ads,4700,132000,3.56,172,47000,4.1
2024-06-01,Mid-Year Sale,Google Ads,5700,155000,3.68,215,55000,4.4
2024-06-01,Mid-Year Sale,Facebook,4000,195000,2.05,145,35000,4.6
2024-06-05,Mid-Year Sale,Instagram,3500,112000,3.13,155,27000,6.4
2024-06-05,Brand Awareness,LinkedIn,1800,58000,3.1,52,19000,3.1
2024-06-10,Mid-Year Sale,Email,6300,51000,12.35,370,11000,14.8
2024-06-10,Retargeting,Google Ads,4500,82000,5.49,235,40000,6.5
2024-06-15,Product Launch,Facebook,3300,170000,1.94,120,29000,4.6
2024-06-20,Brand Awareness,Instagram,3000,95000,3.16,118,22000,5.9
2024-07-01,Summer Sale,Google Ads,5900,160000,3.69,220,57000,4.3
2024-07-01,Summer Sale,Instagram,3600,115000,3.13,160,28000,6.3
2024-07-05,Summer Sale,Email,6500,53000,12.26,380,11500,14.5
2024-07-05,Retargeting,Facebook,3500,78000,4.49,130,25000,5.7
2024-07-10,Brand Awareness,Google Ads,5000,140000,3.57,180,49000,4.1
2024-07-10,Product Launch,LinkedIn,2000,65000,3.08,58,21000,3.2
2024-07-15,Summer Sale,Facebook,4100,200000,2.05,150,36000,4.6
2024-07-20,Brand Awareness,Email,6100,50000,12.2,355,10800,14.3
2024-08-01,Back to School,Google Ads,6100,165000,3.7,225,58000,4.3
2024-08-01,Back to School,Instagram,3800,118000,3.22,165,29000,6.3
2024-08-05,Back to School,Facebook,4200,205000,2.05,155,37000,4.6
2024-08-05,Brand Awareness,LinkedIn,1900,61000,3.11,54,19500,3.1
2024-08-10,Back to School,Email,6400,52000,12.31,375,11200,14.6
2024-08-10,Retargeting,Google Ads,4800,85000,5.65,245,42000,6.4
2024-08-15,Product Launch,Instagram,3200,100000,3.2,138,24000,6.4
2024-08-20,Brand Awareness,Google Ads,5200,145000,3.59,185,50000,4.1
2024-09-01,Fall Campaign,Google Ads,6300,170000,3.71,230,60000,4.3
2024-09-01,Fall Campaign,Facebook,4300,210000,2.05,158,38000,4.6
2024-09-05,Fall Campaign,Instagram,3900,120000,3.25,168,30000,6.2
2024-09-05,Brand Awareness,Email,6200,51000,12.16,360,10600,14.8
2024-09-10,Retargeting,LinkedIn,2100,67000,3.13,60,22000,3.1
2024-09-10,Fall Campaign,Google Ads,5400,148000,3.65,198,51000,4.3
2024-09-15,Product Launch,Facebook,3600,175000,2.06,128,31000,4.5
2024-09-20,Brand Awareness,Instagram,3100,98000,3.16,122,23000,5.8
